id;prj;sec;dim;quality;rem_len;marking_text;used_in
186;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-100-L2204;05003-RP180X11-A40-27
187;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-101-L2204;05003-RP180X11-A40-28
188;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-102-L2204;05003-RP180X11-A40-29
189;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-103-L2204;05003-RP180X11-A40-30
190;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-104-L2204;05003-RP180X11-A40-31
191;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-105-L2204;05003-RP180X11-A40-32
192;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-106-L2204;05003-RP180X11-A40-33
193;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-107-L2204;05003-RP180X11-A40-34
194;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-108-L2204;05003-RP180X11-A40-35
195;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-109-L2204;05003-RP180X11-A40-36
196;056001;05002;RP180X11;A40;2204;05002-RP180X11-A40-110-L2204;05003-RP180X11-A40-3
197;056001;05002;RP180X11;A40;7224;05002-RP180X11-A40-111-L7224;05003-RP180X11-A40-38
198;056001;05002;RP220X11;A40;1748;05002-RP220X11-A40-10-L1748;05003-RP220X11-A40-3
199;056001;05002;RP220X11;A40;1748;05002-RP220X11-A40-11-L1748;05003-RP220X11-A40-2
200;056001;05002;RP220X11;A40;1748;05002-RP220X11-A40-12-L1748;05003-RP220X11-A40-1
201;056001;05002;RP220X11;A40;2076;05002-RP220X11-A40-13-L2076;05003-RP220X11-A40-5
202;056001;05002;RP220X11;A40;2204;05002-RP220X11-A40-14-L2204;
203;056001;05002;RP220X11;A40;2204;05002-RP220X11-A40-15-L2204;
204;056001;05002;RP220X11;A40;2204;05002-RP220X11-A40-16-L2204;05003-RP220X11-A40-9
205;056001;05002;RP220X11;A40;7211;05002-RP220X11-A40-17-L7211;05003-RP220X11-A40-12
206;056001;05002;RP200X10;A40;4356;05002-RP200X10-A40-5-L4356;05003-RP200X10-A40-1
207;056001;05003;RP220X11;A40;1748;05003-RP220X11-A40-13-L1748;
